"main_category","sub_category","mean_ratings","sd_ratings","median_ratings","mode_ratings","mean_number_of_ratings","sd_number_of_ratings","median_number_of_ratings","mode_number_of_ratings","mean_discount_price","sd_discount_price","median_discount_price","mode_discount_price","mean_actual_price","sd_actual_price","median_actual_price","mode_actual_price","number_of_orders","total_revenue"
"sports & fitness","Camping & Hiking",3.7,1.02694871143304,3.9,5,243.146428571429,1262.65805284334,5,5,1760.72496428571,3636.32778804421,778,299,2842.47814285714,4163.70242242016,1599,999,68081,316734709.13
"sports & fitness","Cardio Equipment",3.8608,0.77863569683588,4,4,87.04,187.938751175877,23,4,23150.74632,25375.4215699523,15247,6499,40464.968,41493.475386817,28000,29999,10880,220160678.53
"sports & fitness","Cricket",3.76154721274175,0.79880341590149,3.8,5,101.655290102389,686.812939814879,10,5,1323.89128555176,2697.44548314489,699,599,2146.46235494881,3244.38930091818,1599,1999,89355,81352407.69
"sports & fitness","Cycling",3.76573511543135,0.807728582258622,3.9,4,308.400972053462,1532.63163371718,12,4,1759.49253948967,4052.75370247587,499,499,2751.97797083839,5709.89054911441,999,999,253814,893170713.36
"sports & fitness","Fitness Accessories",3.70327022375215,0.855473035685088,3.8,5,152.247848537005,833.025979962676,9,5,967.430808950087,2036.8532252697,399,299,1567.18018932874,2695.94469906001,789,999,88456,241842730.6
"sports & fitness","Football",3.83108808290155,0.709820967955093,3.9,4,151.112953367875,629.113227484479,15,4,745.386082901555,671.590749412671,599,499,1558.49143005181,1084.98834374775,1299,999,145824,93147963.29
"sports & fitness","Running",3.80978835978836,0.684441635568794,3.9,4,315.587301587299,1082.36142452302,31,4,927.953492063493,1160.74129760229,599,499,82591.6468253973,2221502.20716419,1299,999,238584,196470246.08
"sports & fitness","Strength Training",3.75606936416185,0.777870011275859,3.8,5,235.019653179192,1049.238534884,16,5,1572.14514450867,2499.87266475442,699,499,3306.15941040463,5113.5299808632,1500,999,203292,412294177.78
"sports & fitness","Yoga",3.86416464891041,0.706900424694762,3.9,5,142.200968523002,613.045540489622,12,5,904.455883777239,995.093754619347,699,799,1827.67405569007,2105.1344802323,1499,999,117458,161655087.29
"stores","Amazon Fashion",4.01862101313321,0.369109131938562,4.1,4.2,3041.17682926832,8223.47188956743,644,4.2,908.797772045028,2077.64947134504,399,299,1912.51783302064,3073.40449794094,999,999,6483789,5222000920.95
"stores","Fashion Sales & Deals",3.79767441860465,0.527116311413888,3.7,3.4,55.2790697674418,110.925827981583,32,3.4,2532.49744186047,4228.9036534736,1170,2051,3824.96255813953,3937.26249979184,2999,1499,2377,2047459.84
"stores","Men's Fashion",3.88459426301338,0.576617871196194,3.9,4,624.87188175491,2718.17458966662,68,4,1420.05704387452,3706.99065780139,569.05,499,2486.64557691187,4262.41083033433,1499,999,10695932,12023849111.61
"stores","Sportswear",4.10341935483871,0.652789750786308,4.2,5,410.910645161291,2124.21035378249,34,5,12228.3192564518,12163.535741427,9818.92,999,12891.2715774194,11820.0003300266,9995,1499,2547646,23652823292.56
"stores","The Designer Boutique",3.78841059602649,0.982921217437356,4,5,73.8013245033113,441.487088544474,6,5,4217.27475165562,4773.3740887924,1840,3950,5298.0444205298,4713.65574706103,3950,1999,44576,246705516.7
"stores","Women's Fashion",3.90762620837809,0.527824256653057,3.9,4,486.35714285715,2242.62934692624,76,4,1022.65509129968,2751.47566827236,489.01,499,2199.67436627283,3099.9521138544,1499,999,905597,818469290.93
"toys & baby products","Baby Bath, Skin & Grooming",4.07054263565891,0.662800067464265,4.2,4.3,1432.6210163652,4925.83863026591,30,4.3,666.473419465979,960.1086353443,399,299,1094.44720930233,1464.88176732169,649,999,1663273,1311460785.55
"toys & baby products","Baby Products",4.09022265246854,0.401536835449504,4.1,4.2,6400.50435624388,23911.9245392496,390,4.2,667.077318489836,743.406793916984,474,499,1188.95353339787,1279.96544200321,895,999,6611721,5197769253.7
"toys & baby products","Diapers",3.91162790697674,0.714412840158016,4,5,3544.53266888147,21054.9681905819,37,5,1048.40624584718,1784.6389116804,599,499,1681.62292358804,2868.89219011614,999,999,3200713,4789878311.16
"toys & baby products","International Toy Store",4.57222222222222,0.251596211407826,4.6,4.5,938.388888888889,1310.92199879631,475.5,4.5,6460.19055555556,3625.44834964705,6177,6752,7325.135,4947.92414546004,6177,6752,16891,98969741.94
"toys & baby products","Nursing & Feeding",4.003197353914,0.650200111558167,4.1,4,719.6427783903,2746.70561418065,43,4,652.37460859978,1287.98152437214,375,299,995.815270121277,1618.90186320675,599,399,652716,875539926.04
"toys & baby products","STEM Toys Store",4.12391304347826,0.332120983718414,4.2,4.1,1565.60869565217,2815.27933074942,493,4.1,1407.31673913044,1755.80569720261,665,599,1843.2502173913,2170.48019653664,999,999,72018,69868399.11
"toys & baby products","Strollers & Prams",4.12672064777328,0.750402720399732,4.3,4.5,621.093117408907,1558.86212261064,102,4.5,8220.26914979758,10068.8037946659,4715,5636,9125.60089068827,10470.8884439663,5499,2999,153410,2159146603.59
"toys & baby products","Toys & Games",4.00481099656357,0.533746273663413,4.1,4.1,1417.68041237113,6574.34467552887,138,4.1,708.271408934708,914.310028837336,448,299,1307.06203894616,1422.36381142366,979,999,1237635,1605136648.02
"toys & baby products","Toys Gifting Store",4.09583333333333,0.30141574158521,4.15,4.2,5352.375,4043.75207613682,4004,4.2,613.416666666667,543.506483035345,618.5,699,945.916666666667,876.901358622293,749,999,128457,83748953
"tv, audio & cameras","All Electronics",4.07844012326002,0.377687395128349,4.1,4.3,8856.54213154885,28152.5943160769,1172,4.3,3001.15995112103,8998.8297303754,569,299,4989.5564084582,12134.5376290064,1499,999,83348918,230037157589.59
"tv, audio & cameras","Camera Accessories",3.95422526289117,0.702222197479452,4,4,2509.90244520467,24203.163641078,40,4,1751.22306347394,3559.11640310598,599,499,3089.78258963644,5527.98791458206,1299,999,19810660,48530376203.86
"tv, audio & cameras","Cameras",3.88580833942941,0.728347411138384,4,4,2491.66886125349,23035.4535923576,43,4,4170.36708485731,15991.2527647368,939,499,6574.47720677888,19297.4973992473,1999,999,20436668,57960636948.32
